County,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Barbour County,0.61,0.66,0.67,0.72,0.79,0.85,0.92,1.05,1.15,1.23,1.34,1.50,1.52,1.68,1.91,2.09,2.27,2.53,2.76,3.19,3.78,4.45,4.96,5.67,7.05,7.40,7.60,8.88,9.17,9.10,9.91,10.02,11.19,10.27,10.33
Berkeley County,0.65,0.68,0.71,0.78,0.89,0.99,1.10,1.20,1.38,1.57,1.68,1.96,2.03,2.22,2.62,2.86,3.38,3.92,4.20,4.51,5.83,7.50,8.05,10.43,10.19,11.34,11.13,12.57,15.74,15.67,16.76,19.22,19.95,21.98,21.63
Boone County,0.61,0.67,0.76,0.90,1.03,1.17,1.39,1.81,1.96,2.35,2.78,3.10,3.65,4.38,4.78,5.85,6.10,7.12,8.30,9.69,11.65,15.40,16.61,19.46,23.49,24.48,28.00,29.28,33.40,31.36,40.71,43.90,42.34,45.34,51.47
Braxton County,0.49,0.53,0.55,0.61,0.70,0.75,0.83,0.95,1.07,1.25,1.29,1.44,1.55,1.87,2.00,2.25,2.53,2.86,3.13,3.73,4.51,5.40,6.25,7.38,7.90,8.80,9.94,10.46,12.53,12.31,13.09,13.45,15.16,14.48,15.53
Brooke County,0.52,0.59,0.60,0.66,0.78,0.87,0.99,1.13,1.32,1.50,1.59,1.78,1.90,2.17,2.49,2.86,3.18,3.70,4.28,4.98,5.91,7.23,8.05,10.10,11.31,11.95,14.26,15.94,16.89,17.77,20.81,22.86,22.07,22.66,24.61
Cabell County,0.76,0.73,0.78,0.87,1.03,1.30,1.24,1.60,1.68,2.01,2.10,2.56,2.52,3.04,3.58,3.69,4.35,5.20,5.73,6.67,7.13,9.60,12.00,14.32,16.16,16.28,20.66,25.47,23.78,18.39,25.18,28.19,26.10,33.01,32.90
Calhoun County,0.46,0.51,0.52,0.58,0.66,0.72,0.79,0.99,0.99,1.09,1.21,1.31,1.42,1.60,1.83,2.08,2.27,2.48,2.78,3.33,4.01,4.78,5.63,6.49,7.07,7.92,8.63,9.31,10.35,10.68,10.87,11.76,12.16,12.53,12.58
Clay County,0.50,0.55,0.57,0.65,0.72,0.80,0.88,1.03,1.17,1.31,1.44,1.63,1.78,2.00,2.36,2.57,2.83,3.23,3.50,4.30,5.58,6.20,7.13,8.20,9.30,10.12,11.46,12.24,13.71,14.58,14.73,16.49,17.75,17.45,18.13
Doddridge County,0.37,0.40,0.40,0.45,0.50,0.55,0.60,0.70,0.75,0.82,0.89,0.97,1.06,1.18,1.34,1.48,1.61,1.83,2.06,2.42,2.91,3.52,4.15,4.91,5.49,6.04,7.26,7.28,8.23,8.42,8.93,9.72,10.22,9.77,10.16
Fayette County,0.49,0.51,0.57,0.66,0.74,0.88,1.03,1.17,1.32,1.58,1.76,2.05,2.22,2.66,3.22,3.70,4.06,4.38,5.01,6.03,7.61,9.23,10.78,11.48,13.40,15.39,17.13,21.30,21.99,20.69,25.65,28.43,29.10,30.27,28.47
Gilmer County,0.36,0.38,0.40,0.44,0.48,0.52,0.57,0.66,0.71,0.78,0.86,0.92,1.00,1.11,1.26,1.41,1.54,1.73,1.91,2.26,2.79,3.32,3.86,4.51,5.06,5.68,6.75,6.61,8.09,8.04,8.11,8.73,8.89,9.08,9.28
Grant County,0.42,0.44,0.46,0.50,0.53,0.57,0.60,0.71,0.73,0.80,0.84,0.95,0.96,1.03,1.16,1.32,1.41,1.62,1.73,2.03,2.41,2.86,3.22,3.69,4.16,4.53,5.25,5.40,5.84,6.08,6.45,6.69,7.07,6.87,6.90
